@RELATION training_BOOKKEEPER_4.2.2

@ATTRIBUTE numberRevision NUMERIC
@ATTRIBUTE locAdded NUMERIC
@ATTRIBUTE avgLocAdded NUMERIC
@ATTRIBUTE maxLocAdded NUMERIC
@ATTRIBUTE size NUMERIC
@ATTRIBUTE chgSetSize NUMERIC
@ATTRIBUTE avgChgSetSize NUMERIC
@ATTRIBUTE maxChgSetSize NUMERIC
@ATTRIBUTE authors NUMERIC
@ATTRIBUTE class {BUG,NO_BUG}

@DATA
1,2,2,2,357,4,4.0,3,2,NO_BUG
0,0,0,0,248,0,?,0,2,NO_BUG
1,3,3,3,275,45,45.0,44,5,NO_BUG
2,187,93,158,176,13,6.5,10,4,NO_BUG
2,15,7,10,624,54,27.0,44,5,NO_BUG
2,2,1,2,91,13,6.5,10,3,NO_BUG
1,0,0,0,58,4,4.0,3,2,NO_BUG
0,0,0,0,132,0,?,0,4,NO_BUG
0,0,0,0,4088,0,?,0,2,NO_BUG
0,0,0,0,558,0,?,0,4,NO_BUG
3,80,26,79,727,85,28.333334,44,5,NO_BUG
1,0,0,0,150,4,4.0,3,3,NO_BUG
0,0,0,0,77,0,?,0,1,NO_BUG
0,0,0,0,94,0,?,0,1,NO_BUG
0,0,0,0,337,0,?,0,1,NO_BUG
0,0,0,0,79,0,?,0,1,NO_BUG
0,0,0,0,25,0,?,0,1,NO_BUG
0,0,0,0,84,0,?,0,1,NO_BUG
0,0,0,0,34,0,?,0,1,NO_BUG
0,0,0,0,33,0,?,0,1,NO_BUG
0,0,0,0,104,0,?,0,1,NO_BUG
0,0,0,0,172,0,?,0,1,NO_BUG
0,0,0,0,70,0,?,0,1,NO_BUG
0,0,0,0,140,0,?,0,1,NO_BUG
0,0,0,0,214,0,?,0,1,NO_BUG
1,3,3,3,154,45,45.0,44,2,NO_BUG
1,1,1,1,301,41,41.0,40,3,NO_BUG
0,0,0,0,153,0,?,0,3,BUG
0,0,0,0,92,0,?,0,2,NO_BUG
2,2,1,1,466,3,1.5,2,3,BUG
0,0,0,0,93,0,?,0,2,NO_BUG
0,0,0,0,244,0,?,0,3,NO_BUG
0,0,0,0,192,0,?,0,2,NO_BUG
1,6,6,6,250,41,41.0,40,2,NO_BUG
0,0,0,0,109,0,?,0,1,NO_BUG
0,0,0,0,601,0,?,0,2,NO_BUG
1,1,1,1,565,45,45.0,44,4,NO_BUG
0,0,0,0,69,0,?,0,1,NO_BUG
0,0,0,0,27,0,?,0,1,NO_BUG
0,0,0,0,89,0,?,0,1,NO_BUG
0,0,0,0,236,0,?,0,3,NO_BUG
2,4,2,3,314,79,39.5,44,4,NO_BUG
6,20,3,5,697,81,13.5,44,4,NO_BUG
0,0,0,0,139,0,?,0,3,NO_BUG
0,0,0,0,326,0,?,0,3,BUG
2,6,3,5,314,43,21.5,40,5,NO_BUG
0,0,0,0,648,0,?,0,4,BUG
